Name,Tier,Agility,Body,Cunning,Mind,Essence,Acrobatics,Archery,Brawl,Melee,Stealth,Athletics,Awareness,Might,Presence,Resilience,Insight,Masquerade,Persuasion,Streetwise,Survival,Academics,Composure,Craft,Medicine,Mixology,Meditation,Performance,Rapport,Sorcery,Theurgy,Health,Roster,Weapon,Support,Armor,Pronouns,Card Techniques,Weapon Uses,Heal Cards,Heal Bonus,Heal Range,Passives,Battle Tactic,Notes
Baseline Tier 1 Party Member,1,2,2,2,1,2,2,0,0,3,1,0,2,1,0,2,2,0,2,0,1,0,2,0,1,0,0,0,0,0,0,10,TRUE,,,Light,,,,,,,,,"Validated on-level roster (win-rate grid) - the smoothed PC_SKILLS_COMBAT variant, see design/ENEMY_ENCOUNTER_DESIGN.md Analysis and this CSV's own header comment. Armor=Light for every Baseline row regardless of Tier (several would technically qualify for Medium on Might Skill Total alone) - a uniform 'typical adventurer' loadout, matching the enemy Roster's own uniform Light Armor choice, rather than gear scaling with Tier on its own axis"
Baseline Tier 2 Party Member,2,3,2,2,2,3,3,0,0,3,1,2,2,1,0,3,2,0,2,2,1,0,3,2,1,0,0,0,0,0,0,13,TRUE,,,Light,,,,,,,,,"Validated on-level roster (win-rate grid) - the smoothed PC_SKILLS_COMBAT variant, see design/ENEMY_ENCOUNTER_DESIGN.md Analysis and this CSV's own header comment"
Baseline Tier 3 Party Member,3,3,3,3,3,3,4,0,0,4,2,2,2,2,0,3,3,0,3,2,2,0,3,2,2,0,0,0,0,0,0,13,TRUE,,,Light,,,,,,,,,"Validated on-level roster (win-rate grid) - the smoothed PC_SKILLS_COMBAT variant, see design/ENEMY_ENCOUNTER_DESIGN.md Analysis and this CSV's own header comment"
Baseline Tier 4 Party Member,4,4,4,3,3,4,5,0,0,4,2,2,3,2,0,4,3,0,4,1,2,0,4,2,2,0,0,0,0,0,0,14,TRUE,,,Light,,,,,,,,,"Validated on-level roster (win-rate grid) - the smoothed PC_SKILLS_COMBAT variant, see design/ENEMY_ENCOUNTER_DESIGN.md Analysis and this CSV's own header comment"
Baseline Tier 5 Party Member,5,4,4,4,4,4,4,0,0,5,2,3,3,2,0,4,4,0,4,3,2,0,4,3,2,0,0,0,0,0,0,14,TRUE,,,Light,,,,,,,,,"Validated on-level roster (win-rate grid) - the smoothed PC_SKILLS_COMBAT variant, see design/ENEMY_ENCOUNTER_DESIGN.md Analysis and this CSV's own header comment"
Hilde,1,2,3,1,1,2,2,0,0,3,0,1,1,3,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,FALSE,2H Heavy Melee,,Medium,she/her,Second Wind,,,,,,,"Barbarian, Body-primary melee duelist (player-drafted build, replacing the earlier reference version of this character) - Weapon=2H Heavy Melee (I120, weapon_categories.csv WC004: Damage 5 + [Body], Skill Melee) - Armor=Medium (I129 'Heavy Armor' in her export, but per the designer this is the main branch's naming and should read as Medium here; Might Skill Total 6 clears both Medium's real Might Requirement of 5 and 2H Heavy Melee's own Might Requirement of 6) - Card Techniques: Second Wind (T012, 0 AP self-heal when Wounded - tactics.try_second_wind), budget card_uses_left = hand_size // 3 = 4 // 3 = 1 use this fight. Furious Rage (T130) and Battle Maneuver's own Lunging/Half Guard features (T072) are flavor/not modeled, same as every other Technique this sim doesn't itemize - see combat_sim.py's own docstring for the general simplification list. 75 XP verified (28 Stats + 29 Skills + 18 Techniques)."
Browndog,1,3,2,1,1,2,1,0,2,3,1,1,1,3,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,FALSE,,,Medium,she/her,,,,,,,,"Fighter, Agility-primary melee disruptor (player-drafted build, replacing the earlier reference version) - Weapon left blank (I118 Heavy One-Handed Melee Weapon, weapon_categories.csv WC002, is an exact match for the sim's own blank-Weapon default: Damage 4 + [Body], Skill Melee) - also carries a Shield (I126, WC010: +2 to a chosen Defense) but its Defense bonus isn't modeled here (this sim doesn't model item/weapon Defense bonuses at all yet, only worn Armor's) - Armor=Medium (I129 'Heavy Armor' read as Medium per the designer's main-branch note; Might Skill Total 5 exactly clears Medium's real Might Requirement of 5). Challenge (T058, Taunt), Brace (T001, Protected), Follower (T059) and Battle Maneuver's own Lunging/Half Guard features are flavor/not modeled. 75 XP verified (28 Stats + 29 Skills + 18 Techniques)."
Carrick,1,2,2,2,2,2,3,0,0,0,2,0,1,1,0,1,2,0,2,3,0,0,0,2,0,0,0,0,0,0,0,10,FALSE,Light Thrown,,Light,she/her,Perfect Strike,,,,,,,"Rogue, a versatile Acrobatics/Stealth/Streetwise build (player-drafted, replacing the earlier alchemist-concept version of this character - that concept moved to Jackal, see her own Notes) - Weapon=Light Thrown (I121, weapon_categories.csv WC005: Damage 3 + [Cunning], Skill Acrobatics - same weapon/Skill pairing as Rook's existing build) - Armor=Light (Might Skill Total 3 exactly clears Light's real Might Requirement of 3) - Card Techniques: Perfect Strike (T078, 0 AP - +2 Good Luck on an attack where she Gambles - tactics.perfect_strike_bonus), budget card_uses_left = hand_size // 3 = 8 // 3 = 2 uses this fight. Legerdemain (T034) and Rumormonger (T065) are both non-combat and not modeled. 75 XP verified (30 Stats + 27 Skills + 18 Techniques)."
Jackal,1,2,2,2,3,2,3,0,0,0,1,1,1,1,0,2,2,0,0,0,0,2,1,0,0,3,0,0,1,0,0,10,FALSE,Light Thrown,,Light,she/her,Bottomless Bottles,,,,,,,"Alchemist, a Mixology/Acrobatics build entirely reliant on Bottomless Bottles for anything beyond her baseline weapon (player-drafted, replacing the earlier scout-concept version of this character - that concept isn't currently represented in this roster) - Weapon=Light Thrown (I121, same WC005 pairing as Carrick/Rook) - Armor=Light (Might Skill Total 3 exactly clears Light's real Might Requirement of 3) - Card Techniques: Bottomless Bottles (T053, tactics.bottomless_bottles_choice) - substitutes a created item for one of her normal attacks: Healing Potion (I043, heal 2 Health) when Wounded, else Bottled Fire (I030, a [Grenade] - Acrobatics Skill Total, no accuracy bonus, flat 8 Fire damage, opposed by Dodge alone, Range 3 x Body) - budget card_uses_left = hand_size // 3 = 10 // 3 = 3 uses this fight. 75 XP verified (36 Stats + 27 Skills + 12 Techniques - she spent more on Stats/less on Techniques than the usual 57/18 split, still totals 75)."
Felix,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0,2,2,0,2,0,1,0,2,1,0,0,2,0,0,3,3,10,FALSE,,,Unarmored,,,,,,,,,"Mystic/spellcaster, Essence-primary, split Sorcery/Theurgy - has no `Weapon` set, so combat_sim still reads his attack through the default Melee formula despite barely investing in it; see Wren for the same Essence-primary concept actually built to attack through Sorcery via War Magic - Armor=Unarmored (Might Skill Total 1) - built to rulebook.md's own Quick Creation Reference shape (2 Skills@3, 5@2, 2@1; 1 Stat@3, 2@2, 2@1), 57 XP in Skills+Stats + 18 XP (6 Levels) of Techniques (not modeled here) = 75 total, matching chargen exactly"
Sable,1,3,1,2,1,1,2,3,0,0,2,0,2,2,0,2,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,10,FALSE,Light Bow,,Light,she/her,Perfect Strike,,,,,"Hand of Chaos, One Eye Behind You",,"Deadeye, an Agility/Archery build (player-drafted, replacing the earlier reference-build version of this character) - Weapon=Light Bow (I123, the actual craftable item - Accuracy +1, Damage 3 + [Cunning], Skill Archery, Range 19m; this sim's own tunables.WEAPON entry used to read 15m off weapon_categories.csv's more abstract category instead - corrected to match the real item) - Armor=Light (Might Skill Total 3 exactly clears Light's real Might Requirement of 3). All three of her Techniques are modeled: Perfect Strike (T078, tactics.perfect_strike_bonus - +2 Good Luck on any weapon attack) and Hand of Chaos (T131, tactics.sift_bonus - a flat 1-in-4 chance of +1 damage on a hit, the designer's own explicit stand-in for real suit-pool tracking, which this sim doesn't have) both share her card_uses_left/passives budget as usual. One Eye Behind You (T011) is Passives=One Eye Behind You: Good Luck on her Reflex flip specifically (combat_sim._roll_initiative/_resolve_group_order check for it), so she tends to go early in turn order - verified over 500 fights, her average initiative position is ~1.4th of 8 vs. ~3.5th for a random unit. The technique's other half (discard a card to manually reorder turn order mid-fight) isn't modeled - an of-the-moment tactical choice this sim has no basis to make for a player. 75 XP verified (24 Stats + 33 Skills + 18 Techniques)."
Rook,1,2,3,2,1,1,3,0,0,1,0,3,2,2,0,1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,10,FALSE,Light Thrown,,Light,,,,,,,,,"Skirmisher/knife-thrower, Body-primary - Weapon=Light Thrown (weapon_categories.csv WC005: Accuracy +1, Damage 3 + [Cunning], Range Close or 3 x Body, Skill Acrobatics or Melee - Acrobatics chosen here), so this build's own Range scales directly off Body rather than being fixed like a bow - built specifically to test combat_sim's movement=True mode from the PC side, see combat_sim.py's own note on the result - Armor=Light (Might Skill Total 5 clears Medium too, but Light was picked on purpose to keep a skirmisher's Dodge/Speed unpenalized) - built to rulebook.md's own Quick Creation Reference shape (2 Skills@3, 5@2, 2@1; 1 Stat@3, 2@2, 2@1), 57 XP in Skills+Stats + 18 XP (6 Levels) of Techniques (not modeled here) = 75 total, matching chargen exactly"
Wren,1,2,1,1,2,3,2,0,0,1,0,0,2,0,0,1,2,0,0,0,0,2,3,0,0,0,2,0,0,3,0,10,FALSE,War Magic (Lance),,Unarmored,,,,,,,,,"Mage, Essence-primary - Weapon=War Magic (Lance) (T120's own Sorcery-spell attack, plus its Lance feature - features.csv F064 - which sets Range = Sorcery Skill Total meters; Damage 2 + [Mind] Fire straight from T120's own Effects text, opposed by Dodge alone per T120's own 'Dodge or Vital, chosen when you learn this' rule, no Accuracy bonus since it's a Spell attack, not a weapon-category one) - built specifically to test combat_sim's movement=True mode from the PC side, see combat_sim.py's own note on the result - Armor=Unarmored (Might Skill Total 1, and it wouldn't help her Fire attacks' own elemres anyway) - built to rulebook.md's own Quick Creation Reference shape (2 Skills@3, 5@2, 2@1; 1 Stat@3, 2@2, 2@1), 57 XP in Skills+Stats + 18 XP (6 Levels) of Techniques (not modeled here) = 75 total, matching chargen exactly"
Beornhard,1,2,2,1,3,3,0,0,2,0,1,0,0,1,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,3,0,10,FALSE,War Magic (Lance),,Light,he/him,Warmage's Reserves,3,,,,,,"Arcanist, a damage-mage build entirely reliant on War Magic (player-drafted, replacing the earlier melee-support-healer version of this character - that support/healer concept isn't currently represented in this roster) - Weapon=War Magic (Lance) (T120 x3 + its own Lance feature - Sorcery Skill Total 6, Damage 2 + [Mind] = 5 Fire, Range = Sorcery Skill Total = 6m via Lance, opposed by Dodge - Dodge picked to match Wren's existing build, since the JSON export doesn't capture this one-time chargen choice) - carries a Light Two-Handed Melee Weapon (I119) too, but his Melee Skill is 0, so it's not used - War Magic is his only real attack, same 'no fallback' situation as Felix. Weapon Uses=3 (his 3 known copies of War Magic, an Encounter Technique - techniques.csv/Warmage's Reserves both call it that) + Warmage's Reserves (T124, 0 AP interrupt, discard X cards) adds ceil(hand_size / 3) = ceil(8/3) = 3 more, so 6 total War Magic casts this fight (party.py's own Weapon Uses paragraph) - once exhausted he simply doesn't attack that turn, no melee fallback. Shadow Jaunt (T097, teleport) is non-combat mobility and not modeled. Armor=Light (Might Skill Total 3 exactly clears Light's real Might Requirement of 3). 75 XP verified (38 Stats + 19 Skills + 18 Techniques)."
Hanforth,1,2,2,3,3,2,0,0,2,0,1,1,0,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,10,FALSE,Unarmed,TRUE,Light,he/him,,,2,2,4,,Straggler Hunter,"Of Epione, a dedicated Theurgy healer (new addition, not a replacement) - Weapon=Unarmed (weapon_categories.csv WC009: Accuracy +2, Damage 2 + [Body or Cunning], Skill Brawl - his own Cunning is higher than Body, so that's what's used; carries a Light Two-Handed Melee Weapon, I119, but his Melee Skill is 0, same 'not used' situation as Beornhard/Felix, so Unarmed/Brawl is his real attack instead) - Armor=Light (Might Skill Total 3 exactly clears Light's real Might Requirement of 3) - Support=TRUE, Healing Magic (T105) at Level 2 with Vitality x2 (features.csv F057, +1 healing per copy): Heal Cards=2 (T105's own Cost is 'Discard [Level] cards', so a Level 2 casting discards 2, each assumed a Heart per the existing guaranteed-favorable-discard convention), Heal Bonus=2 (Vitality x2's own flat total), Heal Range=4 (only enforced under movement=True - tactics.strategy_support_healer won't reach for an ally farther than that) - his own heal comes out to 1 + 2 (Hearts) + 2 (Vitality) = 5 Shallow Health per use. heal_uses_left = hand_size // 4 = 12 // 4 = 3 uses this fight. Battle Tactic=Straggler Hunter (tactics.target_straggler) - he still attacks when he can (Support doesn't stop him fighting between heals), but goes after whichever enemy is most isolated from its own pack rather than the nearest/first, so closing to his own melee range doesn't also put him in the middle of the main clump. Placeholder's Lengthy Ley-weaving (T133, +3m Range on Spells/Disciplines) and Gust of Wind (T107, a non-damage Theurgy Push spell) aren't modeled - Ley-weaving only matters for a Spell this build doesn't have (Gust of Wind deals no Damage, nothing else here to extend the Range of), and Gust of Wind's own Push effect needs a positioning mechanic this sim doesn't have. 75 XP verified (42 Stats + 18 Skills + 15 Techniques - he spent more on Stats/less on Techniques than the usual 57/18 split, still totals 75)."
