ID,Technique ID,Technique,Feature Name,Tier,Point Cost,Description (Fluff),Effects,Additional Prereq
F001,T072,Battle Maneuver,Lunging,Basic,1,,"Up to X times, you may Shift up to 2 meters in a single direction, each either before or after the attack. You can declare the use of this Technique before being in range, but cannot make the attack unless you end up in range at some point.",
F002,T072,Battle Maneuver,Wind Slash,Basic,1,,For the attack the chosen weapon's range is increased by [four times X].,
F003,T072,Battle Maneuver,Turn Elements,Basic,1,,"When you choose this feature, choose Fire, Frost, Brilliant, or Shadow. If the attack hits, you gain X + 1 + [Hearts] stacks of [chosen Element] Ward.","(Academics, Sorcery, or Theurgy) 2"
F004,T072,Battle Maneuver,Distracting,Basic,1,,"If the attack hits or is Parried, you Taunt the target X + [Hearts] times.",Presence 2
F005,T072,Battle Maneuver,Battering,Basic,1,,"If the attack hits or is Parried, the target gains X stacks of Bleeding + [Clubs] stacks.",Might 2
F006,T072,Battle Maneuver,Wing Clip,Basic,1,,"If the attack hits, the target is Crippled X + [Clubs] times.",
F007,T072,Battle Maneuver,Harrying,Basic,1,,"If the attack hits or is Parried, the target is Harried X + [Diamonds] times.",
F008,T072,Battle Maneuver,Hamstring,Basic,1,,"If the attack hits, the target is Slowed X + [Spades] times.",
F009,T072,Battle Maneuver,Backfoot,Basic,1,,"If the attack hits, you may adjust the target's position in turn order by up to X + [Spades] times.",
F010,T072,Battle Maneuver,Lodestone,Basic,1,,"If the attack hits or is Parried, you Push the target (2 × [X + Spades]) meters.",
F011,T072,Battle Maneuver,Half Guard,Basic,1,,"If the attack hits, you gain X + 1 + [Spades] stacks of Protected.",
F012,T072,Battle Maneuver,Blade of Four Fates,Basic,1,,"Sift X cards, adding each of their suits to the suit pool for all attacks made.",
F013,T072,Battle Maneuver,Victorious,Basic,2,,"If the attack Downs the target, draw a card. You may only apply one copy of this feature, and cannot draw more than one card this way.",
F014,T072,Battle Maneuver,Elemental,Basic,3,,"When you choose this feature, choose Fire, Frost, or Shadow — the attack deals its damage as that type instead.",Sorcery 2
F015,T072,Battle Maneuver,Viper's Sting,Basic,3,,The Technique takes 1 less AP to use. You may only apply one copy of this feature.,
F016,T072,Battle Maneuver,Calculated,Basic,3,,You have Good Luck on the attack.,
F017,T072,Battle Maneuver,Ascended Blade,Advanced,3,,You may have the attack deal its damage as Brilliant damage.,"Composure, Meditation, or Theurgy 3"
F018,T072,Battle Maneuver,Whirlwind,Advanced,6,,"If your chosen weapon is a close-range weapon, the attack may target an additional target.",
F019,T072,Battle Maneuver,Piercing Shot,Advanced,6,,"If your chosen weapon is a ranged weapon, the attack may target an additional target as long as all targets are in a line from you.",
F020,T072,Battle Maneuver,Flurry,Advanced,6,,"You make an extra weapon attack against each target, which benefits from all features.",
F021,T057,Social Maneuver,Brawn over Banter,Basic,1,,"(Style) Use Might for the statement, and if successful gain [Diamonds] extra successes. You may only apply one Style feature at a time.",Might 2
F022,T057,Social Maneuver,Unpleasant Insinuation,Basic,1,,"(Style) Use Streetwise for the statement, and if successful gain [Diamonds] extra successes. You may only apply one Style feature at a time.",Streetwise 2
F023,T057,Social Maneuver,"""Well, Actually...""",Basic,1,,"(Style) Use Academics for the statement, and if successful gain [Spades] extra successes. You may only apply one Style feature at a time.",Academics 2
F024,T057,Social Maneuver,Witty Quote,Basic,1,,"(Style) Use Performance for the statement, and if successful gain [Hearts] extra successes. You may only apply one Style feature at a time.",Performance 2
F025,T057,Social Maneuver,Emotional Appeal,Basic,1,,"(Style) Instead make a Charismatic statement, and if successful you gain an extra success.",
F026,T057,Social Maneuver,Careful Delivery,Basic,1,,You have Good Luck on the statement.,
F027,T057,Social Maneuver,Airtight Argument,Basic,1,,"If the statement is successful and its suit pool has at least one of each suit, you gain 4 extra successes.",
F028,T057,Social Maneuver,Edgy Remark,Basic,1,,"If the statement succeeds, you may have each party gain any number of Concessions up to your total successes on the statement.",
F029,T057,Social Maneuver,Friendly-Faced,Basic,1,,"If the statement succeeds, instead of its normal effect, for each success your party ignores the next Concession they would gain this encounter.",Rapport 2
F030,T057,Social Maneuver,Single Out,Basic,1,,"If the statement succeeds, the target must stay in the front on their next turn.",Persuasion 2
F031,T057,Social Maneuver,Upstage,Basic,1,,"If the statement succeeds, choose Strategic or Charismatic statements. On the other party's next turn, any members who make that type of statement have Bad Luck on them.",Presence 2
