ID,Name,Category,Slot,Tags,Level,Description (Fluff),Effects,Cost,Value Per Level,School,Skill Total,Total Materials,Main Materials,Optional Materials,Base Item Options,Physical Resist,Fire Resist,Frost Resist,Brilliant Resist,Shadow Resist,Speed,Parry Defense,Dodge Defense,Vital Defense,Mental Defense,Instinct Defense,Shallow Health,Deep Health,Accuracy,Damage,Weapon Defense,Range,Relevant Skills,Might Requirement,Held Slots,Supplement,Material Types,Archetype
I001,Unarmed Enhancer,Equipment,,,1,,"A glove, gauntlet, handwraps, or other piece worn on the hand to aid in striking with the fists. This counts as an Unarmed weapon, and technically as a Held item, but does not occupy the slot. It has no specific benefit by itself, but can be enhanced as any other weapon, in which case it applies its benefits to the wielder’s Unarmed weapon attacks.",3 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I002,Basic Clothing,Equipment,,,1,"Clothing includes items that might cover the Head, Neck, Hands, Torso, or Feet slots. This can be in any form, including cloaks, hats, gloves, boots, etc.",Clothing does not count as Armor of any kind.,3 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I003,Basic Jewelry,Equipment,,,1,"Jewelry includes various items worn in the Head, Neck, Ring, Hands, and Feet slots. It can also include general, pretty jewelry that serves no purpose other than opulence and to demonstrate the wealth of the wearer.",,3 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I004,Adventurer's Kit,Pack/Gear,,,1,"A general collection of useful items for any traveler. Nobody on the roads would be caught dead without one of these... or, rather, they very likely might.","Includes the following:Basic mess kit (utensils, metal bowl, etc.)Simple bedroll or blanketWaterskin (holds four liters)Utility knife20-meter coil of ropeTinderbox, with flint and steel",5 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I005,Medicinal Supply,Pack/Gear,,,1,"A bandage, salve, or other simple yet critical supply that aids in various types of first aid.",Medicinal supplies may be used in place of cards for certain Techniques.,2 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I006,Basic Travel Ration,Pack/Gear,,,1,"Hardtack, cured meat, dried fruits; through simple yet careful preparation, many kinds of food can be prepared for a long journey.","Per the rules, eating 1 Food item each day is required to avoid exhaustion. These rations are preserved and won’t spoil, so you can keep them until you need them.",1 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I007,Knapsack,Pack/Gear,,,1,"A small traveler's pack, worn across the back.","A container large enough to carry a few kits, toolsets, and some spare equipment.",3 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I008,Backpack,Pack/Gear,,,1,"A decent-sized bag with two sturdy straps and some small, outside pockets.","Can easily fit many kits and loose items, with room on the outside to strap one or two larger objects.Requires a Might Skill Total of 4 to carry.",6 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I009,Rucksack,Pack/Gear,,,1,"A large bag with multiple sections and pockets, almost resembling multiple smaller packs cobbled together. Due to its size and straps, it occupies your Belt slot.","Can fit several smaller containers, some spare armaments, and strap a few items to the outside.Requires a Might Skill Total of 6 to carry.",9 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I010,Survivalist's Pack,Pack/Gear,,,1,"A great pack, larger than a child, with multiple reinforced straps to allow it to be carried. Several hooks and loops on the outside allow almost an entire group's worth of armaments to be strapped to the outside. Due to its size and straps, it occupies your Belt slot.","Can fit almost a mule's worth of equipment, including practically anything the prepared traveler would require.Requires a Might Skill Total of 8 to carry.",12 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
