ID,Name,Effects,Feature Budget (draft),Status
T001,Brace,You gain 3 stacks of Protected.,,NOT BUILDABLE
T002,Soulblade,"When you learn this, choose a specific type of weapon. For 0 AP at any time you can create a weapon of the chosen type, appearing in your hand(s). If the weapon leaves your hands it disappears; if thrown it disappears after striking its target.",,NOT BUILDABLE
T003,Temper Soulblade,"When you learn this, choose a Masterwork power (GM approval). This Technique's Level equals the chosen Masterwork's Level. When you create a weapon with Soulblade, you may choose one Masterwork power from this Technique that could apply; the weapon is created with it. A power can be 're-purchased' at a higher Level by paying the XP difference.",,NOT BUILDABLE
T004,Vow of Poverty,"You may not own luxury items or keep more than 10 Gold. When you donate to a worthy cause, gain 1 XP per 7 Gold donated. Breaking the vow gives Bad Luck on Presence/Persuasion/Rapport flips and prevents donation XP until you atone by donating 30 Gold worth.",,NOT BUILDABLE
T005,Blindsight,You are aware of everything within [Awareness Skill Total] meters as though you could see it (color and facial features are difficult). Does not require an action. Reduced through solid objects but you still sense basic details.,,NOT BUILDABLE
T006,Blood-Powered Spirit,"Choose one: (a) Any attack from the Technique deals extra X damage if it hits, or [twice X] if single-target; if damage type is Fire/Frost/Brilliant you may change it to Shadow. (b) If the Technique's Level is [twice X] or lower, you may cast it without expending a use, even if already expended.",,NOT BUILDABLE
T007,Bound Across Mountains,"Your maximum jump distance is doubled in both directions. When falling, you may reduce damage taken by your Athletics Skill Total instead of another stat.",,NOT BUILDABLE
T008,Canopy Creeper,"You may move at your full Speed while climbing without flips, as long as your hands are free. You may climb across any surface with some texture. While not moving you may hold your position on such a surface with only your feet.",,NOT BUILDABLE
T009,Falling Tumble,"When falling, you may reduce damage taken by your Acrobatics Skill Total instead of another stat. At the end of such a fall, you may Shift up to [the fall's height] meters.",,NOT BUILDABLE
T010,Grim Resolve,You draw a card.,,NOT BUILDABLE
T011,One Eye Behind You,"You have Good Luck on Reflex flips. At any time, you may discard a card to adjust your position in turn order by up to [half your Insight Skill Total] places.",,NOT BUILDABLE
T012,Second Wind,"You heal 1 Shallow Health, or 2 if the discarded card was a Heart.",,NOT BUILDABLE
T013,Solemn Pact,"When you learn this, choose a Skill and either attack or non-attack flips (e.g. 'Melee attack flips'). You gain Good Luck twice on the flip. If you break your pact (GM's discretion), you lose benefits until you atone or find a new pact.",,NOT BUILDABLE
T014,Toughened Body,Increase your maximum Deep Health by 3.,,NOT BUILDABLE
T015,Trout Seeming,"You may swim or move through water at your full Speed. While swimming, you may jump out of water as though it were solid ground. You have Good Luck twice on flips to hold your breath.",,NOT BUILDABLE
T016,Skin of Stone,You gain 1 + [half your Resilience Skill Total] stacks of Protected.,,NOT BUILDABLE
T017,Solemn Perseverance,"After the first time you lose Health each encounter, you gain: Protected 3 times; remove up to 2 total stacks of your choice of Bleeding/Crippled/Frightened/Slowed/Taunted/Vulnerable from yourself. Breaking your pact removes these benefits until atonement.",,NOT BUILDABLE
T018,Strength from the Slain,You remove and eat the target's heart (usually killing them instantly if still alive). You gain: sustained as from a full meal; Hasted and Protected 3 times each; once this encounter Good Luck on one Athletics/Brawl/Melee/Might/Presence/Resilience flip.,,NOT BUILDABLE
T019,Toughened Resolve,Increase your maximum Shallow and Deep Health each by 2.,,NOT BUILDABLE
T020,Lay On Hands,"Do each in order: 1. Reduce effects of each Poison as though an hour passed. 2. Remove up to 2 stacks of Bleeding. 3. Target heals 1 Health, or 2 if the discarded card was a Heart.",,NOT BUILDABLE
T021,Mind and Body Unbroken,You are not Downed. Instead you have 1 Shallow and 1 Deep Health remaining.,,NOT BUILDABLE
T022,Solemn Covenant,"At the start of each encounter, you gain 4 Covenant points. When you use an Encounter Technique, you may pay [that Technique's Level] Covenant points to not expend a use of it. Breaking your pact removes these benefits until atonement.",,NOT BUILDABLE
