ID,Name,Description (original),Fluff (draft),Effects (draft),Status
I001,Unarmed Enhancer,"A glove, gauntlet, handwraps, or other piece worn on the hand to aid in striking with the fists. This counts as an Unarmed weapon, and technically as a Held item, but does not occupy the slot. It has no specific benefit by itself, but can be enhanced as any other weapon, in which case it applies its benefits to the wielder’s Unarmed weapon attacks.",,"A glove, gauntlet, handwraps, or other piece worn on the hand to aid in striking with the fists. This counts as an Unarmed weapon, and technically as a Held item, but does not occupy the slot. It has no specific benefit by itself, but can be enhanced as any other weapon, in which case it applies its benefits to the wielder’s Unarmed weapon attacks.","NEEDS REVIEW — only one paragraph, couldn't guess a fluff/effects split"
I002,Basic Clothing,"Clothing includes items that might cover the Head, Neck, Hands, Torso, or Feet slots. This can be in any form, including cloaks, hats, gloves, boots, etc.
Clothing does not count as Armor of any kind.","Clothing includes items that might cover the Head, Neck, Hands, Torso, or Feet slots. This can be in any form, including cloaks, hats, gloves, boots, etc.",Clothing does not count as Armor of any kind.,OK
I003,Basic Jewelry,"Jewelry includes various items worn in the Head, Neck, Ring, Hands, and Feet slots. It can also include general, pretty jewelry that serves no purpose other than opulence and to demonstrate the wealth of the wearer.",,"Jewelry includes various items worn in the Head, Neck, Ring, Hands, and Feet slots. It can also include general, pretty jewelry that serves no purpose other than opulence and to demonstrate the wealth of the wearer.","NEEDS REVIEW — only one paragraph, couldn't guess a fluff/effects split"
I004,Adventurer's Kit,"A general collection of useful items for any traveler. Nobody on the roads would be caught dead without one of these... or, rather, they very likely might.
Includes the following:
Basic mess kit (utensils, metal bowl, etc.)
Simple bedroll or blanket
Waterskin (holds four liters)
Utility knife
20-meter coil of rope
Tinderbox, with flint and steel","A general collection of useful items for any traveler. Nobody on the roads would be caught dead without one of these... or, rather, they very likely might.","Includes the following:
Basic mess kit (utensils, metal bowl, etc.)
Simple bedroll or blanket
Waterskin (holds four liters)
Utility knife
20-meter coil of rope
Tinderbox, with flint and steel",OK
I005,Medicinal Supply,"A bandage, salve, or other simple yet critical supply that aids in various types of first aid.
Medicinal supplies may be used in place of cards for certain Techniques.","A bandage, salve, or other simple yet critical supply that aids in various types of first aid.",Medicinal supplies may be used in place of cards for certain Techniques.,OK
I006,Travel Rations,"Hardtack, cured meat, dried fruits; through simple yet careful preparation, many kinds of food can be prepared for a long journey.
Per the rules, eating 1 Food item each day is required to avoid exhaustion. These rations are preserved and won’t spoil, so you can keep them until you need them.","Hardtack, cured meat, dried fruits; through simple yet careful preparation, many kinds of food can be prepared for a long journey.","Per the rules, eating 1 Food item each day is required to avoid exhaustion. These rations are preserved and won’t spoil, so you can keep them until you need them.",OK
I007,Knapsack,"A small traveler's pack, worn across the back.
A container large enough to carry a few kits, toolsets, and some spare equipment.","A small traveler's pack, worn across the back.","A container large enough to carry a few kits, toolsets, and some spare equipment.",OK
I008,Backpack,"A decent-sized bag with two sturdy straps and some small, outside pockets.
Can easily fit many kits and loose items, with room on the outside to strap one or two larger objects.
Requires a Might Skill Total of 4 to carry.","A decent-sized bag with two sturdy straps and some small, outside pockets.","Can easily fit many kits and loose items, with room on the outside to strap one or two larger objects.
Requires a Might Skill Total of 4 to carry.",OK
I009,Rucksack,"A large bag with multiple sections and pockets, almost resembling multiple smaller packs cobbled together. Due to its size and straps, it occupies your Belt slot.
Can fit several smaller containers, some spare armaments, and strap a few items to the outside.
Requires a Might Skill Total of 6 to carry.","A large bag with multiple sections and pockets, almost resembling multiple smaller packs cobbled together. Due to its size and straps, it occupies your Belt slot.","Can fit several smaller containers, some spare armaments, and strap a few items to the outside.
Requires a Might Skill Total of 6 to carry.",OK
I010,Survivalist's Pack,"A great pack, larger than a child, with multiple reinforced straps to allow it to be carried. Several hooks and loops on the outside allow almost an entire group's worth of armaments to be strapped to the outside. Due to its size and straps, it occupies your Belt slot.
Can fit almost a mule's worth of equipment, including practically anything the prepared traveler would require.
Requires a Might Skill Total of 8 to carry.","A great pack, larger than a child, with multiple reinforced straps to allow it to be carried. Several hooks and loops on the outside allow almost an entire group's worth of armaments to be strapped to the outside. Due to its size and straps, it occupies your Belt slot.","Can fit almost a mule's worth of equipment, including practically anything the prepared traveler would require.
Requires a Might Skill Total of 8 to carry.",OK
I011,Adventurer's Belt,"A sturdy belt with pouches for easy access to all manner of adventuring goods. It occupies your Belt slot.
The belt has 5 pouches, each of which is an easily-accessible container that can hold a small object such as a Potion, vial of Poison, or Grenade.",A sturdy belt with pouches for easy access to all manner of adventuring goods. It occupies your Belt slot.,"The belt has 5 pouches, each of which is an easily-accessible container that can hold a small object such as a Potion, vial of Poison, or Grenade.",OK
I012,"Cart, Small","A small wooden cart, with long handles so that it can be pulled by a beast of burden.
Enough room to hold about a half-dozen barrels, 3-4 people, or a load of similar size.","A small wooden cart, with long handles so that it can be pulled by a beast of burden.","Enough room to hold about a half-dozen barrels, 3-4 people, or a load of similar size.",OK
I013,Musical Instrument,"Lutes, trumpets, drums, and many more types of musical instruments are a common sight in civilized lands.",,"Lutes, trumpets, drums, and many more types of musical instruments are a common sight in civilized lands.","NEEDS REVIEW — only one paragraph, couldn't guess a fluff/effects split"
I014,Climber's Kit,"A small leather pack, containing a variety of hooks, pitons, boot spikes, and other climbing gear all bundled tightly for easy transport. Contains everything you need to scale a wide variety of terrain without needing existing handholds.
This kit can reduce the penalty to climb difficult cliffs and walls, although some time might be needed for setup.","A small leather pack, containing a variety of hooks, pitons, boot spikes, and other climbing gear all bundled tightly for easy transport. Contains everything you need to scale a wide variety of terrain without needing existing handholds.","This kit can reduce the penalty to climb difficult cliffs and walls, although some time might be needed for setup.",OK
I015,Disguise Kit,"A nondescript burlap bag cinched with hemp rope, this kit contains a basic assortment of materials to construct a disguise. Included are a small assortment of basic cosmetics for altering the appearance of your face as well as a variety of accessories for a number of disguises, including hats, bandannas, convincing but mostly worthless costume jewelry, and the like.
This kit allows you to put on a disguise for use with Masquerade. This kit only covers very general disguise requirements, such as basic makeup and common, simple clothing items. More specific or complex disguises might require additional costume pieces.","A nondescript burlap bag cinched with hemp rope, this kit contains a basic assortment of materials to construct a disguise. Included are a small assortment of basic cosmetics for altering the appearance of your face as well as a variety of accessories for a number of disguises, including hats, bandannas, convincing but mostly worthless costume jewelry, and the like.","This kit allows you to put on a disguise for use with Masquerade. This kit only covers very general disguise requirements, such as basic makeup and common, simple clothing items. More specific or complex disguises might require additional costume pieces.",OK
I016,Tinker's Kit,"A small leather case strapped tightly, usually embossed with a small insignia of a guild or other organization, with a small buckle to keep it shut. Inside the case holds a variety of minute picks, screwdrivers, pins, and the like wrought from fine spring steel which allow for fine manipulation of locks and other mechanical devices.
These tools allow you to manipulate fine devices at no penalty, including picking locks, which might otherwise be difficult or outright impossible.","A small leather case strapped tightly, usually embossed with a small insignia of a guild or other organization, with a small buckle to keep it shut. Inside the case holds a variety of minute picks, screwdrivers, pins, and the like wrought from fine spring steel which allow for fine manipulation of locks and other mechanical devices.","These tools allow you to manipulate fine devices at no penalty, including picking locks, which might otherwise be difficult or outright impossible.",OK
I017,Fisher's Kit,These tools allow you to fish in a variety of bodies of water at no penalty.,,These tools allow you to fish in a variety of bodies of water at no penalty.,"NEEDS REVIEW — only one paragraph, couldn't guess a fluff/effects split"
I018,Tailor's Kit,"This is a set of standard tools required for crafting and repair work, usually a satchel containing hammers, chisels, nails, tongs, and the like. Specific tools might be required for very particular arts, but the bulk of projects can be finished with this set. It comes in a convenient leather case that rolls up tightly, and includes a small book of common references for working common materials.
This item fulfills the tool requirement for most items created with Tailoring. This also includes recipes for all level 1 Tailoring equipment and adventuring goods, with room to add more recipes.","This is a set of standard tools required for crafting and repair work, usually a satchel containing hammers, chisels, nails, tongs, and the like. Specific tools might be required for very particular arts, but the bulk of projects can be finished with this set. It comes in a convenient leather case that rolls up tightly, and includes a small book of common references for working common materials.","This item fulfills the tool requirement for most items created with Tailoring. This also includes recipes for all level 1 Tailoring equipment and adventuring goods, with room to add more recipes.",OK
I019,Carving Kit,"This is a set of standard tools required for crafting and repair work, usually a satchel containing hammers, chisels, nails, tongs, and the like. Specific tools might be required for very particular arts, but the bulk of projects can be finished with this set. It comes in a convenient leather case that rolls up tightly, and includes a small book of common references for working common materials.
This item fulfills the tool requirement for most items created with Carving. This also includes recipes for all level 1 Carving equipment and adventuring goods, with room to add more recipes.","This is a set of standard tools required for crafting and repair work, usually a satchel containing hammers, chisels, nails, tongs, and the like. Specific tools might be required for very particular arts, but the bulk of projects can be finished with this set. It comes in a convenient leather case that rolls up tightly, and includes a small book of common references for working common materials.","This item fulfills the tool requirement for most items created with Carving. This also includes recipes for all level 1 Carving equipment and adventuring goods, with room to add more recipes.",OK
